"","askingprice","originalprice","age_05_or_less","age_06_10","age_11_15","age_16_20","age_21_25","age_26_30","age_31_35","age_36_40","age_41_50","age_51_60","age_61_70","age_71_80","age_81","age_new_under_construction","age_unknown","appearance_excellent","appearance_fair","appearance_good","appearance_needsrepair","appearance_verygood","beds","fb","hb","sqft_1000","sqft_1001_1200","sqft_1201_1400","sqft_1401_1600","sqft_1601_1800","sqft_1801_2000","sqft_2001_2200","sqft_2201_2500","sqft_2501_2750","sqft_2751_3000","sqft_3001_3300","sqft_3301_3750","sqft_3751_4250","sqft_4251_5000","sqft_5001_5500","sqft_5501_6000","sqft_6000","sqft_midpoint","sqft_category","lotsize_use","soldprice","year_sold","month_sold","offenders_near_house","tract","daysonmarket","tract_212270101","tract_212270102","tract_212270103","tract_212270104","tract_212270105","tract_212270106","tract_212270107","tract_212270108","tract_212270109","tract_212270110","tract_212270111","tract_212270112","tract_212270113","tract_212270114","tract_212270115","tract_212270116","tract_212270117","tract_212270118","tract_212270119"
"460",119500,339000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.8,115000,2015,6,0,"212270115","722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"461",114900,114900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.35,117000,2015,4,6,"212270109","26",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"462",189000,189000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.2,180000,2016,5,0,"212270108","40",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"463",284900,284900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3150,"3001-3750",0.18,270000,2013,12,3,"212270114","205",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"464",218900,243000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2100,"1801-2500",0.41,197500,2017,12,2,"212270114","119",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"465",22165,22165,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,"-1000",1.4,22165,2016,12,2,"212270117","38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"466",69015,69015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.5,69015,2015,6,1,"212270119","57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"467",269900,269900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0,259900,2020,2,2,"212270114","186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"468",272500,272500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2100,"1801-2500",0.59,272500,2017,9,2,"212270114","218",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"469",269900,269900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0,259900,2020,2,2,"212270114","186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"470",730000,730000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6250,NA,1.12,730000,2019,5,0,"212270115","27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"471",325000,325000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",2.2,3e+05,2020,9,1,"212270118","201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"472",114000,114000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.35,114000,2013,2,9,"212270105","8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473",105000,119900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2100,"1801-2500",0.43,1e+05,2014,2,0,"212270116","336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"474",699900,699900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2625,"2501-3000",2.36,650000,2015,8,1,"212270114","145",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"475",219900,224900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2875,"2501-3000",1.29,202000,2016,9,0,"212270108","175",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"476",179900,179900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",0.43,173500,2015,5,2,"212270108","34",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"477",159500,159500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.34,159500,2012,12,2,"212270114","18",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"478",227375,227375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1900,"1801-2500",0.51,227375,2018,5,3,"212270114","36",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"479",164900,174900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1700,"1401-1800",0.61,158000,2014,12,2,"212270108","197",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"480",285000,285000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",0.21,285000,2018,1,2,"212270114","46",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"481",120000,120000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.11,119000,2014,8,1,"212270108","52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"482",165000,165000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1900,"1801-2500",0.26,163000,2013,4,1,"212270108","46",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"483",128500,128500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.46,125000,2012,5,4,"212270117","50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"484",363800,363800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",5.19,345610,2018,7,0,"212270119","86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
