"","house","offender","lat","Photo.Date","off_market_date"
"36455",14548,88,0.701653030714646,2019-11-21,2014-10-03
"36456",14549,93,0.668047495268669,2022-10-03,2015-03-13
"36457",14550,35,0.930590177201925,2022-07-21,2015-10-23
"36458",14550,83,0.967931443122327,2019-07-29,2015-10-23
"36459",14550,88,0.995278278605797,2019-11-21,2015-10-23
"36460",14550,89,0.57373663054207,2022-08-05,2015-10-23
"36461",14550,91,0.226995341843529,2021-03-18,2015-10-23
"36462",14551,93,0.272898916147115,2022-10-03,2017-06-27
"36463",14553,12,0.605749202283435,2022-02-11,2020-03-02
"36464",14553,13,0.610642578712762,2022-07-18,2020-03-02
"36465",14553,23,0.377496049806122,2021-03-02,2020-03-02
"36466",14553,31,0.540930626743595,2020-08-18,2020-03-02
"36467",14553,42,0.859907563885707,2022-07-28,2020-03-02
"36468",14553,48,0.630121179204922,2022-07-13,2020-03-02
"36469",14553,60,0.978326873966474,2022-08-17,2020-03-02
"36470",14553,62,0.916941440564566,2022-07-28,2020-03-02
"36471",14553,65,0.891076448393813,2018-01-27,2020-03-02
"36472",14553,68,0.138125985130293,2013-03-28,2020-03-02
"36473",14553,69,0.610642578712762,2022-07-21,2020-03-02
"36474",14553,74,0.981060060546515,2022-07-26,2020-03-02
"36475",14554,82,0.0223755558349722,2017-10-26,2016-11-30
"36476",14556,15,0.332708626912395,2022-07-13,2019-02-07
"36477",14556,33,0.405803819420138,2022-07-21,2019-02-07
"36478",14556,52,0.936526581574928,2020-11-06,2019-02-07
"36479",14556,90,0.495781557617628,2022-03-09,2019-02-07
"36480",14558,93,0.759672371630377,2022-10-03,2017-12-04
"36481",14559,92,0.436479394046439,2022-05-04,2014-06-12
"36482",14562,37,0.737649383787826,2022-07-14,2019-01-07
"36483",14562,91,0.755967944087279,2021-03-18,2019-01-07
"36484",14564,15,0.477970196967619,2022-07-13,2018-03-16
"36485",14564,33,0.382769965612135,2022-07-21,2018-03-16
"36486",14564,35,0.496617552053578,2022-07-21,2018-03-16
